"offset","condition","vision","vibration","audio","signals","realism","cueInfo","cueInfoBasic","study","location","velocity","modelPrediction","rmse","rmseTotal"
0,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5484,2.39781151926616,2.3443418843434
100,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.4459,2.39781151926616,2.3443418843434
400,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.2718,2.39781151926616,2.3443418843434
100,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5856,2.39781151926616,2.3443418843434
0,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5937,2.39781151926616,2.3443418843434
200,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3617,2.39781151926616,2.3443418843434
100,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4811,2.39781151926616,2.3443418843434
100,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4708,2.39781151926616,2.3443418843434
200,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4072,2.39781151926616,2.3443418843434
100,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5138,2.39781151926616,2.3443418843434
200,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4102,2.39781151926616,2.3443418843434
0,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5845,2.39781151926616,2.3443418843434
100,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.5989,2.39781151926616,2.3443418843434
400,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.2332,2.39781151926616,2.3443418843434
0,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.6313,2.39781151926616,2.3443418843434
300,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.3208,2.39781151926616,2.3443418843434
200,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.3788,2.39781151926616,2.3443418843434
300,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3444,2.39781151926616,2.3443418843434
100,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.4488,2.39781151926616,2.3443418843434
300,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3309,2.39781151926616,2.3443418843434
300,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.3165,2.39781151926616,2.3443418843434
300,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.3907,2.39781151926616,2.3443418843434
0,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.6898,2.39781151926616,2.3443418843434
100,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.5314,2.39781151926616,2.3443418843434
200,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.565,2.39781151926616,2.3443418843434
100,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.448,2.39781151926616,2.3443418843434
400,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3005,2.39781151926616,2.3443418843434
100,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4497,2.39781151926616,2.3443418843434
200,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3692,2.39781151926616,2.3443418843434
300,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3074,2.39781151926616,2.3443418843434
0,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.5323,2.39781151926616,2.3443418843434
400,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.2556,2.39781151926616,2.3443418843434
400,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.2762,2.39781151926616,2.3443418843434
300,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3994,2.39781151926616,2.3443418843434
300,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.2717,2.39781151926616,2.3443418843434
100,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4986,2.39781151926616,2.3443418843434
200,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.369,2.39781151926616,2.3443418843434
400,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.2597,2.39781151926616,2.3443418843434
100,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.3973,2.39781151926616,2.3443418843434
200,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4428,2.39781151926616,2.3443418843434
200,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4024,2.39781151926616,2.3443418843434
200,6,0,0,2,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3801,2.39781151926616,2.3443418843434
400,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.2857,2.39781151926616,2.3443418843434
400,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.2533,2.39781151926616,2.3443418843434
400,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.2636,2.39781151926616,2.3443418843434
400,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.3155,2.39781151926616,2.3443418843434
100,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4559,2.39781151926616,2.3443418843434
400,14,1,2,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3158,2.39781151926616,2.3443418843434
300,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.3446,2.39781151926616,2.3443418843434
0,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.4999,2.39781151926616,2.3443418843434
400,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.213,2.39781151926616,2.3443418843434
300,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.4596,2.39781151926616,2.3443418843434
300,12,1,0,1,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3351,2.39781151926616,2.3443418843434
100,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.3984,2.39781151926616,2.3443418843434
400,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.2194,2.39781151926616,2.3443418843434
0,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.6409,2.39781151926616,2.3443418843434
400,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.306,2.39781151926616,2.3443418843434
100,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4852,2.39781151926616,2.3443418843434
400,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.2989,2.39781151926616,2.3443418843434
0,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.4889,2.39781151926616,2.3443418843434
0,5,0,2,1,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.6145,2.39781151926616,2.3443418843434
300,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.3716,2.39781151926616,2.3443418843434
200,0,0,0,0,1,"unreal","unreal","unreal","3A",0,0.5,0.3234,2.39781151926616,2.3443418843434
300,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.2857,2.39781151926616,2.3443418843434
100,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.5474,2.39781151926616,2.3443418843434
300,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3287,2.39781151926616,2.3443418843434
0,2,0,2,0,2,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.555,2.39781151926616,2.3443418843434
200,11,1,2,0,2,"real","real","real","3A",0,0.4886,0.4315,2.39781151926616,2.3443418843434
300,14,1,2,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4171,2.39781151926616,2.3443418843434
0,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5569,2.39781151926616,2.3443418843434
300,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.393,2.39781151926616,2.3443418843434
0,1,0,1,0,2,"unreal","unreal","unreal","3A",0,0.5,0.4731,2.39781151926616,2.3443418843434
400,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3389,2.39781151926616,2.3443418843434
0,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5982,2.39781151926616,2.3443418843434
0,10,1,1,0,2,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5664,2.39781151926616,2.3443418843434
200,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.4175,2.39781151926616,2.3443418843434
100,14,1,2,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5699,2.39781151926616,2.3443418843434
200,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4595,2.39781151926616,2.3443418843434
0,15,1,0,2,2,"real","real","real","3A",0,0.4886,0.6097,2.39781151926616,2.3443418843434
200,9,1,0,0,1,"real","real","real","3A",0,0.4886,0.3747,2.39781151926616,2.3443418843434
100,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.5708,2.39781151926616,2.3443418843434
200,8,0,2,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.4526,2.39781151926616,2.3443418843434
200,14,1,2,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.4856,2.39781151926616,2.3443418843434
400,16,1,1,2,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3353,2.39781151926616,2.3443418843434
0,4,0,1,1,3,"unreal","unreal","unreal","3A",0,0.5,0.5202,2.39781151926616,2.3443418843434
400,17,1,2,2,3,"real","real","real","3A",0,0.4886,0.4222,2.39781151926616,2.3443418843434
300,13,1,1,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.3229,2.39781151926616,2.3443418843434
200,3,0,0,1,2,"unreal","unreal","unreal","3A",0,0.5,0.3101,2.39781151926616,2.3443418843434
300,7,0,1,2,3,"unreal","mix_unrealVision","mixed","3A",0,0.5,0.3986,2.39781151926616,2.3443418843434
0,14,1,2,1,3,"unreal","mix_realVision","mixed","3A",0,0.4886,0.5933,2.39781151926616,2.3443418843434
100,4,0,0,0,3,"unreal","unreal","unreal","3B",1,0.5,0.4078,2.29087224942065,2.3443418843434
300,4,0,0,0,3,"unreal","unreal","unreal","3B",0.5,0.5,0.2702,2.29087224942065,2.3443418843434
100,4,0,0,0,3,"unreal","unreal","unreal","3B",0.5,0.5,0.4501,2.29087224942065,2.3443418843434
200,4,0,0,0,3,"unreal","unreal","unreal","3B",1,0.5,0.3203,2.29087224942065,2.3443418843434
0,4,0,0,0,3,"unreal","unreal","unreal","3B",0,0.5,0.5202,2.29087224942065,2.3443418843434
300,17,1,1,1,3,"real","real","real","3B",0.5,0.4886,0.4037,2.29087224942065,2.3443418843434
0,4,0,0,0,3,"unreal","unreal","unreal","3B",0.5,0.5,0.5232,2.29087224942065,2.3443418843434
400,4,0,0,0,3,"unreal","unreal","unreal","3B",0.5,0.5,0.2394,2.29087224942065,2.3443418843434
200,4,0,0,0,3,"unreal","unreal","unreal","3B",0.5,0.5,0.3521,2.29087224942065,2.3443418843434
400,17,1,1,1,3,"real","real","real","3B",0,0.4886,0.4275,2.29087224942065,2.3443418843434
200,17,1,1,1,3,"real","real","real","3B",0,0.4886,0.5016,2.29087224942065,2.3443418843434
300,4,0,0,0,3,"unreal","unreal","unreal","3B",0,0.5,0.3362,2.29087224942065,2.3443418843434
100,4,0,0,0,3,"unreal","unreal","unreal","3B",0,0.5,0.4406,2.29087224942065,2.3443418843434
0,17,1,1,1,3,"real","real","real","3B",0.5,0.4886,0.7316,2.29087224942065,2.3443418843434
200,17,1,1,1,3,"real","real","real","3B",0.5,0.4886,0.5146,2.29087224942065,2.3443418843434
100,17,1,1,1,3,"real","real","real","3B",0,0.4886,0.613,2.29087224942065,2.3443418843434
100,17,1,1,1,3,"real","real","real","3B",0.5,0.4886,0.5927,2.29087224942065,2.3443418843434
400,17,1,1,1,3,"real","real","real","3B",1,0.4886,0.3464,2.29087224942065,2.3443418843434
0,17,1,1,1,3,"real","real","real","3B",1,0.4886,0.7117,2.29087224942065,2.3443418843434
300,17,1,1,1,3,"real","real","real","3B",1,0.4886,0.3948,2.29087224942065,2.3443418843434
400,4,0,0,0,3,"unreal","unreal","unreal","3B",0,0.5,0.2527,2.29087224942065,2.3443418843434
300,17,1,1,1,3,"real","real","real","3B",0,0.4886,0.461,2.29087224942065,2.3443418843434
400,17,1,1,1,3,"real","real","real","3B",0.5,0.4886,0.3495,2.29087224942065,2.3443418843434
300,4,0,0,0,3,"unreal","unreal","unreal","3B",1,0.5,0.2648,2.29087224942065,2.3443418843434
0,17,1,1,1,3,"real","real","real","3B",0,0.4886,0.6884,2.29087224942065,2.3443418843434
400,4,0,0,0,3,"unreal","unreal","unreal","3B",1,0.5,0.2439,2.29087224942065,2.3443418843434
200,17,1,1,1,3,"real","real","real","3B",1,0.4886,0.4664,2.29087224942065,2.3443418843434
100,17,1,1,1,3,"real","real","real","3B",1,0.4886,0.5882,2.29087224942065,2.3443418843434
200,4,0,0,0,3,"unreal","unreal","unreal","3B",0,0.5,0.3367,2.29087224942065,2.3443418843434
0,4,0,0,0,3,"unreal","unreal","unreal","3B",1,0.5,0.5532,2.29087224942065,2.3443418843434
