visualDelay,medianCausality,condition,study
0,8.346153846,vision,1
80,7.384615385,vision,1
160,5.423076923,vision,1
240,4,vision,1
320,2.288461538,vision,1
400,1.788461538,vision,1
0,8.442307692,sound,1
80,9,sound,1
160,8.173076923,sound,1
240,6.75,sound,1
320,5.692307692,sound,1
400,3.903846154,sound,1
0,7.925558313,vision,2
50,6.838709677,vision,2
100,5.111662531,vision,2
150,3.741935484,vision,2
200,3.563275434,vision,2
250,2.431761787,vision,2
300,2,vision,2
350,2.387096774,vision,2
400,2.133995037,vision,2
0,8.193548387,sound,2
50,7.657568238,sound,2
100,7.062034739,sound,2
150,6.124069479,sound,2
200,5.394540943,sound,2
250,5.781637717,sound,2
300,4.441687345,sound,2
350,4.307692308,sound,2
400,3.667493797,sound,2
0,8.1191067,blink,2
50,7.568238213,blink,2
100,7.240694789,blink,2
150,6.124069479,blink,2
200,6.049627792,blink,2
250,6.109181141,blink,2
300,4.47146402,blink,2
350,4.53101737,blink,2
400,3.667493797,blink,2
0,8.625310174,soundBlink,2
50,8,soundBlink,2
100,7.7617866,soundBlink,2
150,6.913151365,soundBlink,2
200,6.749379653,soundBlink,2
250,6.302729529,soundBlink,2
300,5.692307692,soundBlink,2
350,4.784119107,soundBlink,2
400,5.215880893,soundBlink,2